state,era,use_group,properties,avg_sqft,median_value
IN,unknown,Commercial,85065,8555,10704
IN,1980-99,Commercial,81062,12318,247145
IN,1960-79,Commercial,79236,11476,143190
IN,2000-09,Commercial,38737,14639,467707
IN,2010+,Commercial,26340,13950,637592
IN,unknown,INDUSTRIAL,25626,9298,11346
IN,1980-99,INDUSTRIAL,23491,32978,398160
IN,1960-79,INDUSTRIAL,18551,34463,275769
IN,pre-1960,INDUSTRIAL,14778,33338,144437
IN,2000-09,INDUSTRIAL,10213,41081,454148
IN,2010+,INDUSTRIAL,8054,51885,818637
IA,unknown,Commercial,170213,12778,16137
IA,pre-1960,Commercial,66315,4913,83168
IA,1960-79,Commercial,32122,8494,224019
IA,1980-99,Commercial,27936,10878,376821
IA,1980-99,INDUSTRIAL,22246,11472,174624
IA,1960-79,INDUSTRIAL,21324,11711,134425
IA,unknown,INDUSTRIAL,20275,14252,554467
IA,2000-09,Commercial,19085,14594,493402
IA,2010+,INDUSTRIAL,17143,11946,240487
IA,pre-1960,INDUSTRIAL,16716,8583,49342
IA,2010+,Commercial,14891,13642,911950
IA,2000-09,INDUSTRIAL,13318,11007,198434
KS,unknown,Commercial,57437,19230,21578
KS,pre-1960,Commercial,54242,4702,68147
KS,1960-79,Commercial,30540,9297,199436
KS,1980-99,Commercial,30200,13449,425085
KS,unknown,INDUSTRIAL,19227,69821,20244
KS,1980-99,INDUSTRIAL,16700,14706,232460
KS,2000-09,Commercial,15676,14899,722932
KS,1960-79,INDUSTRIAL,14877,15528,169563
KS,2010+,Commercial,11967,15900,985388
KS,pre-1960,INDUSTRIAL,10710,9041,62409
KS,2000-09,INDUSTRIAL,7082,16161,266872
KS,2010+,INDUSTRIAL,6432,30045,210065
KY,unknown,Commercial,162073,7300,94647
KY,1980-99,Commercial,37539,14791,269853
KY,pre-1960,Commercial,34184,6770,165417
KY,1960-79,Commercial,26001,10078,207260
KY,2000-09,Commercial,21308,15219,350725
KY,unknown,INDUSTRIAL,9842,17592,70923
KY,2010+,Commercial,6594,44081,519591
KY,1980-99,INDUSTRIAL,5890,36334,555883
KY,1960-79,INDUSTRIAL,3753,31480,418264
